keyword,doc_freq,total_freq,tfidf
util,8,3647,0.01
exception,6,1423,0.0
factory,6,1461,0.0
command,5,1162,0.01
file,5,1756,0.01
device,5,2003,0.04
utils,5,1682,0.0
data,5,9609,0.03
constants,4,345,0.0
gyro,4,182,0.01
motor,4,1991,0.12
sensor,4,1565,0.04
base,4,3482,0.02
service,4,2336,0.01
controller,4,3300,0.02
robot,3,1466,0.06
drive,3,395,0.02
field,3,1049,0.01
filter,3,8222,0.04
provider,3,1205,0.01
demo,3,1998,0.02
port,3,902,0.02
image,3,1436,0.01
widget,3,9337,0.14
control,3,1794,0.03
type,3,2653,0.01
model,3,2074,0.01
network,3,1288,0.01
pid,3,1307,0.07
manager,3,897,0.0
output,3,659,0.01
event,3,1362,0.01
input,3,1325,0.01
autonomous,2,7,0.0
encoders,2,11,0.0
motors,2,190,0.01
commands,2,650,0.01
toggle,2,242,0.01
subsystems,2,99,0.01
enumeration,2,690,0.03
auto,2,102,0.0
vision,2,367,0.02
bot,2,325,0.01
drivetrain,2,28,0.0
arduino,2,765,0.04
nxt,2,171,0.01
color,2,410,0.01
touch,2,48,0.0
led,2,123,0.01
cam,2,380,0.02
system,2,136,0.0
impl,2,903,0.0
rotate,2,36,0.0
gui,2,10860,0.17
listener,2,2378,0.01
opencv,2,2573,0.1
serial,2,1180,0.04
test,2,1111,0.0
publisher,2,1027,0.03
pin,2,730,0.03
values,2,591,0.02
panel,2,1420,0.02
message,2,939,0.01
plugin,2,7407,0.07
sources,2,2082,0.08
types,2,1451,0.02
source,2,2597,0.02
tab,2,1556,0.03
serialization,2,761,0.02
dialog,2,993,0.01
server,2,724,0.0
string,2,415,0.0
config,2,982,0.0
settings,2,1159,0.01
firmata,2,353,0.02
engine,2,424,0.01
parser,2,813,0.01
machine,2,452,0.01
speed,2,288,0.01
status,2,474,0.01
core,2,6083,0.04
http,2,980,0.01
step,2,507,0.01
module,2,628,0.01
code,2,247,0.0
subsystem,1,223,0.01
cyborg,1,41,0.0
button,1,479,0.01
manual,1,23,0.0
compressor,1,11,0.0
clamp,1,10,0.0
hook,1,10,0.0
grow,1,9,0.0
spit,1,9,0.0
mast,1,9,0.0
xbox,1,8,0.0
group,1,40,0.0
eat,1,7,0.0
kill,1,6,0.0
manipulator,1,5,0.0
path,1,99,0.0
position,1,147,0.0
deck,1,4,0.0
wait,1,48,0.0
reverse,1,10,0.0
goal,1,4,0.0
