keyword,doc_freq,total_freq,tfidf
service,3,9715,0.02
route,3,6285,0.07
controller,3,1641,0.0
exception,3,2148,0.0
main,3,890,0.0
list,3,1037,0.0
util,3,3634,0.0
api,2,6130,0.02
response,2,2809,0.01
data,2,3159,0.0
routes,2,292,0.0
routing,2,11559,0.15
web,2,895,0.0
intent,2,6,0.0
provider,2,558,0.0
activity,2,30,0.0
processor,2,1361,0.01
builders,2,4628,0.06
builder,2,5652,0.02
message,2,1563,0.01
vehicle,2,1965,0.04
request,2,3355,0.01
services,2,1191,0.01
type,2,2399,0.0
storage,2,2859,0.02
address,1,5088,0.04
dto,1,3908,0.03
connection,1,2721,0.01
impl,1,1619,0.0
staticsearch,1,1456,0.04
seaport,1,1417,0.04
terminal,1,1264,0.02
transport,1,1045,0.01
enricher,1,964,0.02
run,1,872,0.01
part,1,822,0.01
distance,1,1280,0.01
nominatim,1,791,0.02
revision,1,744,0.01
routedatarevision,1,674,0.02
advice,1,628,0.01
strategy,1,615,0.0
osrm,1,511,0.01
upload,1,601,0.01
gis,1,478,0.01
truck,1,476,0.01
countries,1,441,0.01
sequence,1,594,0.0
country,1,512,0.01
elevation,1,593,0.01
location,1,820,0.01
airline,1,301,0.01
persistence,1,286,0.0
repository,1,285,0.0
duration,1,283,0.0
unique,1,258,0.0
security,1,387,0.0
geo,1,1046,0.01
config,1,692,0.0
cleanup,1,225,0.0
discover,1,215,0.0
csv,1,269,0.0
journey,1,23,0.0
routerroute,1,11,0.0
user,1,180,0.0
creator,1,135,0.0
rendering,1,3,0.0
home,1,3,0.0
transaction,1,2,0.0
interceptor,1,38,0.0
example,1,57,0.0
instrumented,1,2,0.0
reflected,1,2,0.0
pair,1,71,0.0
test,1,99,0.0
extended,1,2,0.0
ode,1,25574,0.65
jpo,1,22810,0.66
plugin,1,13861,0.06
oss,1,2973,0.07
model,1,2603,0.0
timstorage,1,2007,0.06
dds,1,1389,0.03
bsm,1,1251,0.04
wrapper,1,1462,0.01
parser,1,1328,0.0
importer,1,816,0.01
offset,1,810,0.01
udp,1,735,0.01
coder,1,726,0.01
point,1,1156,0.01
status,1,1171,0.01
utils,1,836,0.0
file,1,883,0.0
node,1,855,0.0
speed,1,782,0.01
path,1,766,0.0
traveler,1,551,0.02
tim,1,550,0.01
set,1,606,0.0
publisher,1,528,0.01
history,1,494,0.0
payload,1,477,0.0
confidence,1,472,0.01
serdes,1,437,0.01
description,1,588,0.01
inet,1,408,0.01
msg,1,404,0.0
time,1,516,0.0
lane,1,398,0.01
socket,1,386,0.0
stomp,1,380,0.01
extensions,1,9082,0.11
graphhopper,1,8333,0.24
json,1,3957,0.01
responses,1,2409,0.03
matrix,1,2949,0.02
storages,1,2126,0.06
graph,1,2863,0.02
isochrones,1,2425,0.07
gpx,1,2372,0.05
weighting,1,2111,0.05
core,1,2005,0.01
edge,1,1800,0.02
isochrone,1,1113,0.03
filter,1,1712,0.0
requests,1,1006,0.01
map,1,1619,0.0
encoder,1,1491,0.01
flag,1,1425,0.03
algorithm,1,1122,0.01
servlet,1,1331,0.01
utility,1,1293,0.01
algorithms,1,939,0.01
traffic,1,1217,0.03
factory,1,1404,0.0
flagencoders,1,1167,0.03
info,1,1190,0.0
edgefilters,1,1060,0.03
requestprocessors,1,1048,0.03
reader,1,1044,0.0
beans,1,990,0.01
profile,1,1074,0.01
way,1,1041,0.03
parameters,1,726,0.01
fastisochrones,1,802,0.02
common,1,843,0.0
router,1,285,0.0
lib,1,112,0.0
commands,1,76,0.0
command,1,68,0.0
fragments,1,24,0.0
satellite,1,22,0.0
activities,1,24,0.0
fragment,1,20,0.0
android,1,46,0.0
satellites,1,18,0.0
messages,1,12,0.0
exceptions,1,535,0.0
providers,1,248,0.0
start,1,8,0.0
add,1,8,0.0
not,1,304,0.0
toast,1,8,0.0
and,1,196,0.0
with,1,23,0.0
back,1,5,0.0
secondary,1,4,0.0
attached,1,56,0.0
third,1,4,0.0
supported,1,4,0.0
custom,1,4,0.0
animation,1,4,0.0
decorator,1,80,0.0
result,1,587,0.0
base,1,339,0.0
show,1,4,0.0
first,1,40,0.0
finish,1,16,0.0
stack,1,76,0.0
second,1,4,0.0
replace,1,4,0.0
forward,1,3,0.0
types,1,116,0.0
