keyword,doc_freq,total_freq,tfidf
jvarkit,1,57237,0.94
tools,1,37705,0.18
vcf,1,17249,0.25
util,1,12861,0.01
misc,1,8229,0.06
jfx,1,4385,0.06
chart,1,3766,0.02
biostar,1,3236,0.05
sam,1,3164,0.04
bio,1,3127,0.04
factory,1,3025,0.0
bam,1,2654,0.04
variant,1,2149,0.02
burden,1,2345,0.04
utils,1,744,0.0
fastq,1,2243,0.03
picard,1,2029,0.03
vcfviewgui,1,1951,0.03
filter,1,1928,0.0
sequence,1,1823,0.01
swing,1,1634,0.01
file,1,1496,0.0
reader,1,1571,0.0
bed,1,1489,0.02
predictions,1,1152,0.02
iterator,1,1349,0.01
structvar,1,1286,0.02
tree,1,1282,0.0
parser,1,1268,0.0
variants,1,878,0.01
pubmed,1,1239,0.02
blast,1,1190,0.01
table,1,1167,0.0
read,1,1044,0.01
xml,1,1036,0.0
vcfs,1,204,0.0
stream,1,939,0.0
lang,1,925,0.01
gene,1,842,0.01
samtools,1,880,0.01
context,1,877,0.0
compare,1,858,0.01
vcfcmp,1,810,0.01
writer,1,777,0.0
fasta,1,770,0.01
gtf,1,766,0.01
index,1,760,0.0
gatkjfx,1,748,0.01
pedigree,1,748,0.01
cgi,1,744,0.01
