keyword,doc_freq,total_freq,tfidf
server,40,105248,0.1
impl,30,69083,0.04
util,29,71990,0.02
handler,28,35510,0.03
exception,28,27186,0.01
config,27,50227,0.03
service,26,43774,0.03
factory,26,40979,0.02
utils,25,12898,0.0
client,24,77915,0.08
response,22,12365,0.01
file,22,27106,0.01
type,22,78376,0.04
request,21,20043,0.02
event,20,43725,0.04
manager,20,19676,0.02
listener,19,15976,0.01
data,18,29810,0.01
message,18,25219,0.03
model,18,62452,0.03
command,17,29459,0.03
session,17,23712,0.05
http,17,20024,0.02
api,16,18368,0.02
filter,15,25403,0.02
info,15,11225,0.01
connection,15,15602,0.02
user,14,16539,0.02
web,13,8961,0.01
provider,13,22833,0.02
configuration,12,11132,0.01
update,12,6401,0.01
channel,12,17624,0.04
stream,12,15849,0.02
player,11,12003,0.03
list,11,16798,0.01
builder,11,7136,0.01
core,10,52324,0.05
json,10,6450,0.01
socket,10,5902,0.01
item,10,22996,0.03
resource,10,13686,0.02
packet,10,18595,0.06
transport,10,25179,0.09
controller,10,6403,0.01
proxy,10,9429,0.02
base,10,11563,0.01
servlet,10,6245,0.02
common,9,46340,0.05
main,9,1774,0.0
status,9,4950,0.01
repository,9,10368,0.02
log,9,9946,0.01
view,9,8986,0.01
plugin,9,7811,0.01
object,9,10605,0.01
access,9,6635,0.02
storage,8,11257,0.02
chat,8,1466,0.0
application,8,5529,0.0
login,8,3850,0.01
context,8,9935,0.01
helper,8,4886,0.0
set,8,10591,0.01
app,8,2694,0.0
query,8,16436,0.03
auth,8,16951,0.03
action,8,11029,0.01
string,8,14044,0.01
protocol,8,15834,0.04
ftp,8,4869,0.03
cache,8,17223,0.02
block,8,19651,0.04
events,7,5274,0.01
rest,7,9684,0.02
adapter,7,11443,0.01
bean,7,8025,0.02
parser,7,10001,0.01
security,7,9560,0.02
store,7,6008,0.01
entity,7,18150,0.03
endpoint,7,7154,0.02
header,6,8368,0.02
thread,6,5155,0.01
module,6,4866,0.01
state,6,8315,0.01
input,6,5090,0.01
net,6,1622,0.0
change,6,4166,0.01
callback,6,6259,0.01
result,6,8260,0.01
inventory,6,3678,0.01
chunk,6,2354,0.01
logging,6,4373,0.01
admin,6,21120,0.07
commands,5,3633,0.01
post,5,2630,0.01
dao,5,4876,0.01
delete,5,6238,0.02
task,5,11752,0.01
date,5,9118,0.02
generator,5,7997,0.01
serializer,5,13132,0.03
processor,5,9380,0.01
authenticator,5,2977,0.01
writer,5,3909,0.01
error,5,4053,0.0
map,5,6017,0.01
settings,5,2583,0.0
xml,5,29713,0.04
method,5,7713,0.01
not,5,3233,0.01
converter,5,4263,0.01
java,5,3741,0.01
open,5,4614,0.01
rule,5,4823,0.01
array,5,11899,0.02
system,5,11462,0.02
test,5,16760,0.01
logger,5,1888,0.0
consumer,5,2425,0.01
support,5,7026,0.02
domain,5,20479,0.04
value,5,8752,0.01
basic,5,2937,0.0
world,5,1371,0.0
out,5,5383,0.02
sql,4,14623,0.03
create,4,5474,0.01
register,4,995,0.0
key,4,19737,0.03
get,4,11164,0.02
notification,4,2823,0.01
sample,4,3022,0.01
token,4,6867,0.01
page,4,4679,0.01
index,4,1153,0.0
encoder,4,2242,0.01
decoder,4,3982,0.01
image,4,5653,0.01
wrapper,4,2699,0.0
found,4,696,0.0
container,4,1284,0.0
component,4,5720,0.01
executor,4,5873,0.01
node,4,31233,0.03
netty,4,2890,0.01
audit,4,12645,0.05
dataset,4,2135,0.01
group,4,4126,0.01
buffer,4,5128,0.01
engine,4,5314,0.01
output,4,5881,0.01
remote,4,5487,0.01
path,4,5557,0.01
attributes,4,6006,0.02
attribute,4,8476,0.02
internal,4,2995,0.0
annotations,4,3839,0.01
tag,4,18089,0.04
parameter,4,3411,0.01
play,4,5413,0.02
window,4,2680,0.01
example,4,3443,0.0
messaging,3,2829,0.01
expr,3,2177,0.01
database,3,2071,0.0
chain,3,691,0.0
filters,3,1446,0.0
bootstrap,3,445,0.0
add,3,3465,0.01
search,3,1592,0.0
mapper,3,2901,0.01
interceptor,3,806,0.0
dto,3,113,0.0
formatter,3,1257,0.0
version,3,2564,0.01
pipeline,3,1337,0.0
packets,3,2328,0.01
serialization,3,2002,0.01
future,3,4814,0.02
handshake,3,901,0.01
scheduler,3,2765,0.01
initializer,3,1209,0.0
form,3,1952,0.0
udp,3,2690,0.01
google,3,96,0.0
tcp,3,1843,0.01
reader,3,2597,0.0
monitor,3,4899,0.02
cluster,3,3708,0.01
selector,3,2048,0.01
annotation,3,2013,0.0
function,3,17931,0.02
cast,3,6866,0.04
schema,3,2656,0.01
time,3,11701,0.02
backend,3,4895,0.02
loader,3,8348,0.01
messages,3,4298,0.01
property,3,5170,0.01
title,3,761,0.0
tab,3,1243,0.0
cipher,3,3232,0.01
types,3,39781,0.08
variable,3,6175,0.02
services,3,3645,0.01
jena,3,430,0.0
project,3,7068,0.02
role,3,3360,0.01
simple,3,7882,0.01
host,3,4028,0.01
fast,3,2373,0.01
random,3,3113,0.01
mongo,3,1929,0.01
outbound,3,149,0.0
body,3,3633,0.01
headers,3,3386,0.02
async,3,4263,0.01
ldap,3,2442,0.01
codec,3,5731,0.02
cookie,3,2289,0.01
control,3,3099,0.01
projectile,3,1332,0.01
gen,3,1888,0.01
vehicle,3,1163,0.01
constants,3,6801,0.01
parse,3,2371,0.01
android,3,346,0.0
custom,3,3488,0.01
schedule,3,11568,0.05
tree,3,4997,0.01
source,3,7608,0.01
information,3,4016,0.02
format,3,6673,0.01
element,3,2831,0.01
memory,3,2573,0.01
console,3,2308,0.01
field,3,3145,0.01
cli,3,1598,0.0
files,3,1367,0.0
template,3,2945,0.01
validator,3,2482,0.01
use,3,3541,0.02
bukkit,2,4744,0.03
bungee,2,2045,0.01
players,2,706,0.0
pre,2,2422,0.01
velocity,2,2381,0.01
objects,2,31840,0.1
listeners,2,713,0.0
join,2,1690,0.01
hook,2,1005,0.0
teleport,2,693,0.01
handlers,2,1950,0.01
authentication,2,1274,0.0
deserializer,2,546,0.0
global,2,2124,0.01
push,2,1009,0.0
pipe,2,1665,0.01
download,2,739,0.0
stats,2,1477,0.0
specification,2,55,0.0
install,2,904,0.0
acteur,2,926,0.01
chunked,2,76,0.0
watch,2,53,0.0
disconnect,2,659,0.0
queue,2,7924,0.02
policy,2,3519,0.01
concurrent,2,2241,0.01
todo,2,628,0.0
local,2,5409,0.01
connector,2,1346,0.0
route,2,969,0.0
exchange,2,3942,0.02
multi,2,2164,0.01
runner,2,808,0.0
panel,2,1032,0.0
sasl,2,3491,0.02
script,2,5958,0.01
receiver,2,2982,0.01
start,2,2261,0.01
table,2,4871,0.01
datasource,2,4998,0.02
network,2,2975,0.0
permission,2,1286,0.0
encryption,2,1473,0.01
stack,2,29927,0.1
certificate,2,7253,0.04
history,2,5072,0.01
identity,2,5501,0.02
hierarchy,2,220,0.0
generic,2,1135,0.0
pojo,2,882,0.0
display,2,2058,0.01
pixel,2,44,0.0
feature,2,705,0.0
details,2,1358,0.0
authorization,2,944,0.0
sftp,2,13391,0.07
agent,2,6901,0.02
extension,2,5662,0.01
helpers,2,2600,0.01
password,2,4366,0.01
signature,2,2674,0.01
entry,2,8775,0.02
pair,2,2814,0.01
forwarding,2,3056,0.02
pool,2,4751,0.01
decorator,2,1058,0.0
mongodb,2,821,0.0
strategy,2,3621,0.01
raw,2,1547,0.0
spring,2,2490,0.01
media,2,850,0.0
filtered,2,169,0.0
mvc,2,1526,0.01
label,2,362,0.0
text,2,3300,0.0
actions,2,687,0.0
dialog,2,1092,0.0
views,2,2078,0.01
job,2,7647,0.02
preferences,2,108,0.0
robin,2,668,0.0
round,2,801,0.0
resources,2,1631,0.0
parameters,2,1953,0.01
errors,2,439,0.0
meta,2,4998,0.01
living,2,1386,0.01
minecart,2,742,0.01
game,2,792,0.0
effect,2,682,0.0
cmd,2,2256,0.01
remove,2,1241,0.0
modified,2,481,0.0
websocket,2,764,0.0
worker,2,2480,0.01
metrics,2,1209,0.0
load,2,2333,0.0
work,2,388,0.0
look,2,163,0.0
animation,2,193,0.0
secret,2,5053,0.02
users,2,272,0.0
content,2,3570,0.01
modify,2,1090,0.01
scanner,2,477,0.0
jar,2,441,0.0
echo,2,583,0.0
boot,2,252,0.0
extended,2,745,0.0
configurator,2,2686,0.01
sparql,2,598,0.0
graph,2,1570,0.0
riot,2,421,0.0
lang,2,3035,0.01
rdf,2,337,0.0
queried,2,243,0.0
vocabulary,2,657,0.0
linked,2,945,0.0
param,2,3013,0.01
transfer,2,3271,0.01
call,2,2880,0.01
authority,2,752,0.0
rpc,2,4708,0.01
expression,2,7204,0.02
asm,2,2447,0.01
sender,2,3681,0.01
evaluator,2,7531,0.02
particle,2,3779,0.02
sound,2,2825,0.01
general,2,3665,0.01
machine,2,2413,0.01
spec,2,2482,0.01
check,2,4286,0.01
drive,2,61,0.0
account,2,549,0.0
authorities,2,9,0.0
sign,2,750,0.0
barcode,2,157,0.0
synch,2,385,0.0
mgr,2,6238,0.05
migration,2,656,0.0
mock,2,1533,0.01
converters,2,269,0.0
constraint,2,566,0.0
matcher,2,640,0.0
printer,2,733,0.0
position,2,650,0.0
validation,2,3559,0.01
report,2,2826,0.01
menu,2,1171,0.0
gateway,2,2311,0.01
maven,2,989,0.0
management,2,8708,0.04
verify,2,461,0.0
runnable,2,746,0.0
activity,2,379,0.0
gui,2,578,0.0
math,2,4740,0.01
updater,2,268,0.0
visitor,2,4270,0.01
scope,2,11954,0.04
unit,2,2725,0.01
topic,2,5442,0.02
send,2,1740,0.0
style,2,371,0.0
number,2,2329,0.01
definition,2,1809,0.01
orm,2,4111,0.02
inbound,2,232,0.0
parties,1,3270,0.03
party,1,2908,0.02
addons,1,1328,0.01
bungeecord,1,1114,0.01
external,1,1682,0.01
sub,1,1842,0.01
skript,1,506,0.0
home,1,436,0.0
leave,1,489,0.0
tasks,1,1021,0.0
addon,1,236,0.0
invite,1,344,0.0
rename,1,855,0.0
expressions,1,301,0.0
associate,1,107,0.0
userdb,1,8,0.0
ram,1,1176,0.01
payload,1,758,0.0
root,1,1155,0.0
searchable,1,5,0.0
lookup,1,524,0.0
validated,1,10,0.0
crud,1,1,0.0
observer,1,425,0.0
subject,1,456,0.0
retrieve,1,1,0.0
fcm,1,13,0.0
person,1,54,0.0
pojos,1,5,0.0
repositoty,1,2,0.0
firebase,1,2,0.0
mojang,1,15,0.0
ratelimit,1,187,0.0
redis,1,227,0.0
wrapped,1,120,0.0
buf,1,602,0.0
responder,1,38,0.0
center,1,84,0.0
gennbm,1,33,0.0
catalog,1,71,0.0
downloader,1,76,0.0
put,1,266,0.0
borrowed,1,17,0.0
nbm,1,16,0.0
poller,1,16,0.0
live,1,112,0.0
comparator,1,2111,0.01
find,1,1612,0.01
dir,1,392,0.0
tickle,1,2,0.0
polling,1,335,0.0
flash,1,428,0.0
xhr,1,62,0.0
unsupported,1,170,0.0
heartbeat,1,1009,0.01
memoizer,1,54,0.0
jsonp,1,48,0.0
connect,1,1106,0.0
dispatcher,1,2683,0.01
reason,1,213,0.0
framer,1,49,0.0
advice,1,54,0.0
frame,1,1209,0.0
managed,1,1387,0.01
computable,1,18,0.0
states,1,207,0.0
drawer,1,25,0.0
alert,1,367,0.0
closed,1,356,0.0
adapters,1,126,0.0
cells,1,14,0.0
forms,1,10,0.0
cell,1,312,0.0
structure,1,918,0.0
about,1,40,0.0
baudrate,1,10,0.0
meter,1,142,0.0
opened,1,10,0.0
established,1,26,0.0
connectable,1,10,0.0
viewable,1,10,0.0
denied,1,7,0.0
blink,1,77,0.0
httpserver,1,58,0.0
routes,1,25,0.0
params,1,494,0.0
extractor,1,328,0.0
roster,1,4209,0.03
ifc,1,3371,0.02
jabber,1,2372,0.02
tigase,1,1961,0.02
panels,1,1548,0.01
proc,1,2274,0.01
repo,1,1466,0.01
bosh,1,1236,0.01
comp,1,1119,0.01
hoc,1,916,0.01
sysmon,1,862,0.01
presence,1,833,0.01
scram,1,821,0.01
mycat,1,6162,0.06
sqlfunction,1,3460,0.03
mysql,1,3229,0.01
rel,1,2538,0.02
rules,1,1878,0.01
ast,1,1563,0.01
stringfunction,1,1486,0.01
datefunction,1,1455,0.01
sequence,1,3365,0.01
jdbc,1,2397,0.01
collector,1,2435,0.01
row,1,2081,0.01
plan,1,1555,0.01
show,1,1780,0.01
partition,1,1116,0.01
balance,1,1214,0.01
hint,1,923,0.01
physical,1,945,0.01
constant,1,1778,0.0
enumerable,1,807,0.01
legacy,1,1727,0.01
minecraft,1,687,0.01
brigadier,1,618,0.01
argument,1,2099,0.01
forge,1,459,0.0
ping,1,1681,0.01
compression,1,2213,0.01
registrar,1,1543,0.01
compressor,1,335,0.0
opcua,1,85367,0.59
sdk,1,57562,0.23
nodes,1,23859,0.09
structured,1,15359,0.09
variables,1,9974,0.04
diagnostics,1,4142,0.03
condition,1,5012,0.02
alarm,1,3752,0.02
exclusive,1,2254,0.01
methods,1,2076,0.01
subscription,1,3109,0.01
opc,1,1866,0.01
enumerated,1,1935,0.02
transition,1,1894,0.01
iftp,1,6,0.0
logic,1,406,0.0
hibernate,1,19,0.0
browsing,1,18,0.0
omero,1,19,0.0
queries,1,105,0.0
shoolaadapter,1,14,0.0
category,1,86,0.0
experimenter,1,11,0.0
analysis,1,11,0.0
images,1,26,0.0
old,1,2471,0.01
tests,1,164,0.0
dynamic,1,3124,0.01
lsid,1,8,0.0
ome,1,7,0.0
grinder,1,5,0.0
dimension,1,487,0.0
thumbnail,1,5,0.0
cors,1,117,0.0
landing,1,1,0.0
keys,1,6441,0.03
subsystem,1,6274,0.04
extensions,1,4789,0.02
scp,1,4791,0.05
ssh,1,4601,0.03
kex,1,3142,0.03
forward,1,3163,0.02
openssh,1,1794,0.02
git,1,1783,0.01
shell,1,1921,0.01
bridge,1,1000,0.0
php,1,306,0.0
fcgi,1,108,0.0
launcher,1,483,0.0
process,1,1917,0.0
cgi,1,312,0.0
interactive,1,764,0.0
invocable,1,76,0.0
closeable,1,1715,0.01
ifcgi,1,18,0.0
illegal,1,236,0.0
such,1,42,0.0
fastcgi,1,18,0.0
logbook,1,1121,0.01
httpclient,1,1598,0.01
jaxrs,1,416,0.0
okhttp,1,217,0.0
sink,1,477,0.0
logstash,1,165,0.0
streams,1,196,0.0
correlation,1,164,0.0
benchmark,1,823,0.0
replacement,1,118,0.0
autoconfigure,1,114,0.0
chunking,1,108,0.0
compacting,1,107,0.0
compactor,1,104,0.0
todomvc,1,233,0.0
todos,1,80,0.0
experimentsjavaspringdatamap,1,135,0.0
count,1,1705,0.01
left,1,208,0.0
guava,1,74,0.0
hash,1,2877,0.01
identifiable,1,333,0.0
than,1,303,0.0
zero,1,68,0.0
items,1,851,0.0
more,1,162,0.0
completed,1,99,0.0
all,1,3095,0.01
loggable,1,25,0.0
starter,1,41,0.0
ldapstudio,1,2411,0.02
browser,1,2209,0.01
editors,1,363,0.0
ldif,1,465,0.0
schemas,1,415,0.0
editor,1,609,0.0
widgets,1,201,0.0
wizard,1,164,0.0
wizards,1,157,0.0
dialogs,1,138,0.0
widget,1,108,0.0
jobs,1,191,0.0
dsml,1,103,0.0
viewers,1,89,0.0
searchresult,1,80,0.0
reponse,1,70,0.0
export,1,722,0.0
entryeditor,1,60,0.0
xio,1,1775,0.02
retry,1,1240,0.01
chicago,1,432,0.0
mux,1,520,0.0
loadbalancer,1,399,0.0
tracing,1,379,0.0
thrift,1,364,0.0
marshall,1,344,0.0
ssl,1,2292,0.01
trailhead,1,162,0.0
segmented,1,149,0.0
