keyword,doc_freq,total_freq,tfidf
service,4,4129,0.05
contract,4,1647,0.12
transaction,4,2715,0.16
util,4,1589,0.01
utils,4,1020,0.01
event,3,2838,0.05
listener,3,2039,0.03
exception,3,666,0.01
node,3,821,0.02
model,3,3673,0.03
response,3,304,0.01
type,3,1313,0.01
list,3,316,0.0
factory,2,2328,0.02
repository,2,3034,0.11
settings,2,1104,0.03
converter,2,191,0.01
services,2,66,0.0
address,2,600,0.03
file,2,141,0.0
object,2,72,0.0
read,2,68,0.0
app,2,317,0.01
data,2,1113,0.01
token,2,3678,0.15
wallet,2,2530,0.33
info,2,475,0.01
state,2,213,0.01
client,2,373,0.01
impl,2,120,0.0
key,2,540,0.02
context,2,68,0.0
tokens,2,873,0.08
function,2,678,0.02
display,2,582,0.04
chain,1,2175,0.15
block,1,1152,0.05
dto,1,801,0.04
filter,1,1062,0.02
integration,1,772,0.07
config,1,584,0.01
blockchain,1,568,0.08
parameter,1,520,0.02
strategy,1,480,0.02
configuration,1,439,0.01
broadcast,1,386,0.03
broadcaster,1,348,0.05
store,1,413,0.01
message,1,767,0.02
details,1,273,0.01
endpoint,1,258,0.01
correlation,1,248,0.03
kafka,1,239,0.02
criteria,1,238,0.02
eventeum,1,235,0.04
eventstore,1,218,0.04
health,1,207,0.02
domain,1,203,0.01
subscription,1,173,0.01
monitoring,1,169,0.02
annotation,1,163,0.01
wrapper,1,229,0.01
consumer,1,125,0.01
matching,1,119,0.01
container,1,116,0.01
confirmation,1,424,0.06
socket,1,103,0.0
web,1,558,0.01
websocket,1,104,0.01
validator,1,51,0.0
qubic,1,6,0.0
json,1,41,0.0
path,1,13,0.0
action,1,147,0.0
integer,1,3,0.0
tryte,1,3,0.0
create,1,232,0.01
iam,1,3,0.0
array,1,28,0.0
alpha,1,100,0.01
numeric,1,85,0.01
oracle,1,10,0.0
string,1,66,0.0
url,1,260,0.01
quick,1,1,0.0
run,1,1,0.0
success,1,42,0.0
test,1,402,0.0
error,1,221,0.01
applications,1,1,0.0
thrift,1,478,0.05
desktop,1,514,0.05
generated,1,419,0.04
controller,1,486,0.01
result,1,567,0.01
executor,1,211,0.01
smart,1,180,0.02
pojo,1,170,0.01
get,1,298,0.01
code,1,175,0.01
api,1,193,0.0
sourcecode,1,72,0.01
method,1,114,0.0
struct,1,60,0.0
variant,1,51,0.01
deploy,1,51,0.01
compiler,1,47,0.0
source,1,258,0.01
area,1,41,0.0
compilation,1,40,0.01
apiexec,1,38,0.01
tab,1,151,0.01
trans,1,36,0.0
pool,1,93,0.0
row,1,35,0.0
loader,1,32,0.0
crypto,1,214,0.02
contracts,1,15,0.0
interaction,1,29,0.0
daml,1,745,0.13
processor,1,306,0.01
rpc,1,270,0.02
timekeeper,1,175,0.03
sawtooth,1,155,0.03
exceptions,1,70,0.0
ledger,1,84,0.01
time,1,265,0.01
handler,1,397,0.01
keeper,1,74,0.01
manager,1,238,0.0
events,1,40,0.0
main,1,51,0.0
constants,1,70,0.0
namespace,1,43,0.01
log,1,163,0.0
write,1,103,0.01
messaging,1,84,0.01
writer,1,33,0.0
reader,1,32,0.0
zmq,1,28,0.01
entry,1,46,0.0
auth,1,20,0.0
transformer,1,20,0.0
committer,1,20,0.0
stream,1,28,0.0
memory,1,55,0.0
runnable,1,17,0.0
directory,1,17,0.0
engine,1,16,0.0
singleton,1,16,0.0
participant,1,14,0.0
send,1,329,0.02
receive,1,12,0.0
thread,1,58,0.0
jwt,1,11,0.0
generator,1,129,0.0
entity,1,10324,0.36
widget,1,7398,0.35
view,1,4650,0.07
viewmodel,1,3470,0.4
holder,1,2775,0.15
activity,1,2498,0.05
router,1,2293,0.19
interact,1,2004,0.31
adapter,1,1866,0.04
module,1,1690,0.05
item,1,1631,0.04
ticket,1,1205,0.14
detail,1,1181,0.07
sorted,1,1088,0.09
asset,1,1018,0.08
callback,1,1023,0.04
fragment,1,989,0.03
alphawallet,1,946,0.17
network,1,877,0.03
realm,1,844,0.08
transfer,1,800,0.07
wallets,1,360,0.06
select,1,715,0.05
dapp,1,641,0.12
ethereum,1,695,0.09
click,1,659,0.04
redeem,1,640,0.12
gas,1,633,0.09
sign,1,553,0.05
browser,1,492,0.05
help,1,491,0.03
checks,1,41,0.0
check,1,205,0.01
solidity,1,29,0.0
frontend,1,16,0.0
visitor,1,12,0.0
rule,1,7,0.0
sensor,1,4,0.0
empty,1,62,0.0
base,1,368,0.01
cognitive,1,3,0.0
complexity,1,3,0.0
verifier,1,43,0.0
pattern,1,3,0.0
deprecated,1,3,0.0
its,1,3,0.0
rules,1,2,0.0
quality,1,2,0.0
gate,1,2,0.0
highlighting,1,2,0.0
issuable,1,2,0.0
issues,1,2,0.0
scanner,1,138,0.01
latest,1,59,0.01
version,1,2,0.0
not,1,88,0.0
status,1,140,0.01
metrics,1,2,0.0
parser,1,105,0.0
profile,1,2,0.0
measures,1,2,0.0
syntax,1,2,0.0
keywords,1,2,0.0
plugin,1,2,0.0
lexer,1,2,0.0
definition,1,216,0.01
avoid,1,2,0.0
ruling,1,2,0.0
constructor,1,2,0.0
functions,1,181,0.01
