keyword,doc_freq,total_freq,tfidf
file,3,294,0.01
factory,3,754,0.02
item,2,276,0.02
view,2,837,0.03
listener,2,114,0.0
main,2,99,0.0
event,2,292,0.01
handler,2,821,0.04
parser,2,449,0.02
method,2,104,0.01
visitor,2,159,0.02
filter,2,142,0.01
exception,2,205,0.0
type,2,95,0.0
builder,2,345,0.02
single,2,125,0.02
line,2,343,0.04
info,2,100,0.0
core,2,2099,0.12
coverage,2,198,0.05
loader,2,164,0.01
order,1,168,0.03
hall,1,156,0.09
admin,1,138,0.03
kitchen,1,114,0.06
activity,1,66,0.0
models,1,60,0.01
adapter,1,136,0.01
billing,1,54,0.02
menu,1,48,0.01
orders,1,24,0.01
list,1,86,0.0
add,1,30,0.0
dish,1,30,0.02
table,1,49,0.0
recycler,1,24,0.0
reporting,1,24,0.01
employee,1,24,0.01
notification,1,18,0.0
cook,1,18,0.01
tablet,1,18,0.01
details,1,43,0.01
bill,1,18,0.01
attendance,1,18,0.01
ingredients,1,12,0.01
payment,1,12,0.0
swipe,1,12,0.0
touch,1,12,0.0
end,1,48,0.01
chef,1,12,0.01
cart,1,12,0.0
confirm,1,12,0.0
inventory,1,12,0.0
quantity,1,12,0.0
items,1,6,0.0
tables,1,6,0.0
cooks,1,6,0.0
tablets,1,6,0.0
payments,1,6,0.0
pending,1,6,0.0
readyto,1,6,0.0
serve,1,6,0.0
day,1,6,0.0
feedback,1,6,0.0
panel,1,6,0.0
scm,1,233,0.1
metric,1,217,0.04
commit,1,150,0.04
range,1,141,0.02
persistence,1,131,0.02
repository,1,127,0.01
commits,1,78,0.04
commitrange,1,96,0.05
jdt,1,88,0.05
level,1,76,0.01
antlr,1,77,0.03
methods,1,63,0.01
examples,1,70,0.01
domain,1,72,0.01
csv,1,59,0.01
only,1,57,0.02
git,1,55,0.01
mechanism,1,46,0.01
modification,1,58,0.02
code,1,42,0.0
metrics,1,24,0.0
diff,1,40,0.01
cohesion,1,34,0.02
remote,1,32,0.0
lines,1,28,0.01
attributes,1,28,0.0
loc,1,28,0.02
cyclomatic,1,22,0.01
number,1,24,0.0
set,1,41,0.0
complexity,1,22,0.01
change,1,22,0.0
all,1,23,0.0
head,1,21,0.01
utils,1,18,0.0
monthly,1,18,0.01
last,1,16,0.0
repair,1,1435,0.51
util,1,284,0.0
ingredient,1,255,0.1
manipulation,1,233,0.08
visitors,1,112,0.03
crossover,1,136,0.05
algorithms,1,130,0.03
external,1,114,0.02
operators,1,110,0.03
ast,1,119,0.03
test,1,144,0.0
screener,1,91,0.04
kali,1,91,0.04
gen,1,91,0.02
prog,1,91,0.04
mutation,1,80,0.02
arja,1,79,0.04
statement,1,78,0.01
var,1,79,0.02
compiler,1,65,0.01
point,1,56,0.01
seed,1,52,0.01
impl,1,100,0.0
problem,1,41,0.01
detector,1,73,0.01
executor,1,40,0.0
testexecutors,1,40,0.02
process,1,40,0.0
rule,1,39,0.0
match,1,39,0.01
faultlocalizer,1,39,0.02
fault,1,39,0.02
insert,1,39,0.01
filterrules,1,39,0.02
conv,1,39,0.01
alg,1,38,0.01
problems,1,28,0.01
importer,1,2572,0.51
report,1,1299,0.18
html,1,1166,0.15
specobject,1,892,0.49
api,1,722,0.04
exporter,1,667,0.13
xml,1,592,0.05
markdown,1,576,0.18
cli,1,557,0.08
tag,1,442,0.05
tree,1,326,0.03
service,1,259,0.01
testutil,1,262,0.14
input,1,235,0.02
content,1,216,0.02
specification,1,194,0.05
command,1,165,0.01
zip,1,173,0.03
commands,1,141,0.01
state,1,148,0.01
matcher,1,148,0.02
consumer,1,140,0.02
status,1,142,0.01
reporter,1,132,0.03
spec,1,128,0.02
trace,1,127,0.03
transition,1,119,0.02
stream,1,130,0.01
settings,1,115,0.01
config,1,123,0.0
element,1,109,0.01
link,1,97,0.02
constants,1,95,0.01
writer,1,92,0.01
context,1,86,0.0
container,1,83,0.01
directory,1,76,0.01
plaintext,1,75,0.03
