keyword,doc_freq,total_freq,tfidf
model,8,15070,0.05
exception,6,6099,0.02
service,5,26847,0.13
util,5,2994,0.01
manager,5,3389,0.02
factory,5,3413,0.01
test,5,1777,0.01
base,5,1227,0.01
impl,4,8324,0.04
api,4,542,0.0
data,4,22268,0.09
utils,4,1985,0.0
activity,4,388,0.0
event,4,1252,0.01
example,4,118,0.0
instrumented,4,28,0.0
listener,4,3552,0.02
client,3,1509,0.01
app,3,299,0.0
filter,3,3811,0.02
provider,3,477,0.0
adapter,3,543,0.0
add,3,1211,0.02
view,3,60,0.0
constants,3,2780,0.03
application,3,121,0.0
main,3,93,0.0
get,3,508,0.01
file,3,7102,0.03
handler,3,3412,0.02
services,2,2306,0.04
rest,2,3679,0.05
config,2,2732,0.01
sync,2,2277,0.05
user,2,1584,0.01
notification,2,1035,0.02
command,2,1567,0.01
info,2,1132,0.01
channel,2,1428,0.03
security,2,1854,0.03
job,2,6902,0.13
string,2,182,0.0
domain,2,176,0.0
events,2,627,0.01
list,2,798,0.0
mock,2,82,0.0
dao,2,49,0.0
context,2,2602,0.02
realm,2,19,0.0
memory,2,141,0.0
unit,2,20,0.0
store,2,65,0.0
object,2,253,0.0
web,2,7374,0.07
meta,2,1343,0.02
basic,2,451,0.01
simple,2,780,0.01
core,2,2677,0.02
database,2,6707,0.08
helper,2,347,0.0
table,2,2659,0.03
reader,2,6056,0.06
writer,2,7474,0.09
sql,2,17573,0.27
value,2,1466,0.01
edit,2,31,0.0
optional,2,75,0.0
map,2,4174,0.03
builder,2,3803,0.03
change,2,3107,0.06
common,2,3133,0.03
message,2,1142,0.01
messages,2,609,0.01
menu,2,703,0.01
step,2,2266,0.05
network,2,1737,0.02
exceptions,2,416,0.01
google,1,763,0.02
account,1,485,0.01
ldap,1,476,0.02
push,1,1725,0.05
group,1,1127,0.01
configuration,1,1144,0.01
suite,1,220,0.01
plugin,1,175,0.0
validation,1,90,0.0
role,1,79,0.0
directory,1,221,0.01
mapper,1,1583,0.02
users,1,53,0.0
error,1,903,0.01
stop,1,107,0.0
groups,1,44,0.0
settings,1,403,0.0
interceptor,1,685,0.01
authorization,1,54,0.0
validator,1,48,0.0
time,1,360,0.0
date,1,279,0.0
configurable,1,143,0.01
appsync,1,61,0.0
injection,1,31,0.0
module,1,25,0.0
component,1,140,0.0
post,1,16,0.0
models,1,4,0.0
presenter,1,4,0.0
per,1,141,0.0
has,1,3,0.0
other,1,34,0.0
encfs,1,2091,0.12
enc,1,1363,0.07
jfs,1,870,0.05
producer,1,757,0.02
filename,1,539,0.03
strategy,1,590,0.01
