keyword,doc_freq,total_freq,tfidf
listener,23,4138,0.02
client,21,5007,0.04
main,20,1067,0.0
activity,19,1626,0.01
test,18,1412,0.01
request,17,3370,0.03
utils,15,4316,0.01
example,14,633,0.0
network,13,4414,0.06
handler,13,4912,0.03
exception,13,1013,0.0
message,13,1925,0.02
instrumented,12,123,0.0
response,12,1095,0.01
server,12,2949,0.02
util,12,6382,0.01
manager,12,521,0.0
data,11,2672,0.01
service,11,712,0.0
factory,10,1942,0.01
file,10,1324,0.0
http,10,3830,0.04
callback,9,2207,0.03
impl,9,2206,0.01
base,9,1953,0.01
adapter,9,659,0.01
api,8,1637,0.01
helper,8,740,0.01
packet,8,554,0.01
list,8,840,0.0
stream,8,1235,0.01
receiver,8,126,0.0
event,7,686,0.0
thread,7,723,0.01
post,7,151,0.0
type,7,1156,0.0
config,6,3481,0.02
socket,6,855,0.01
builder,6,385,0.0
get,6,217,0.0
error,6,760,0.01
application,6,433,0.0
map,6,13510,0.1
log,6,628,0.01
time,6,450,0.0
state,6,2654,0.03
connection,6,588,0.01
cache,6,917,0.01
channel,6,465,0.01
constants,6,375,0.0
model,5,4080,0.01
upload,5,144,0.0
item,5,1159,0.01
tcp,5,269,0.01
udp,5,371,0.01
fragment,5,743,0.01
module,5,158,0.0
core,5,6642,0.05
hash,5,853,0.02
buffer,5,762,0.01
filter,5,1280,0.01
queue,5,708,0.01
logging,5,50,0.0
configuration,5,430,0.0
dialog,5,2156,0.03
progress,4,140,0.0
app,4,816,0.01
custom,4,137,0.0
async,4,483,0.01
net,4,265,0.01
sender,4,274,0.01
json,4,2281,0.02
session,4,995,0.02
pool,4,783,0.01
processor,4,260,0.0
messages,4,1397,0.03
object,4,2373,0.02
key,4,825,0.01
header,4,560,0.01
parser,4,256,0.0
node,4,1416,0.01
string,4,292,0.0
generator,4,1613,0.02
info,4,727,0.0
retry,3,760,0.03
sample,3,294,0.0
security,3,246,0.0
receive,3,29,0.0
reader,3,367,0.0
put,3,52,0.0
param,3,209,0.0
download,3,104,0.0
view,3,1135,0.01
status,3,340,0.0
future,3,425,0.01
task,3,279,0.0
timer,3,159,0.0
ssl,3,500,0.02
simple,3,295,0.0
close,3,161,0.01
common,3,336,0.0
content,3,280,0.0
broadcast,3,15,0.0
device,3,991,0.02
provider,3,742,0.01
size,3,475,0.01
feature,3,15195,0.27
serialization,3,426,0.01
memory,3,557,0.01
proxy,3,474,0.01
send,3,373,0.01
logger,3,129,0.0
delete,3,101,0.0
image,3,1664,0.02
array,3,683,0.01
auth,3,244,0.0
dispatcher,3,240,0.01
context,3,418,0.0
engine,3,1358,0.02
update,3,466,0.01
body,3,779,0.02
scheduler,3,94,0.0
field,3,291,0.0
color,3,508,0.01
code,3,181,0.0
play,3,369,0.01
packets,3,180,0.01
chat,3,439,0.01
selector,3,1425,0.03
pair,3,62,0.0
auto,2,6,0.0
head,2,52,0.0
dispatch,2,134,0.01
multipart,2,63,0.0
wrapper,2,129,0.0
bean,2,577,0.01
lru,2,260,0.01
linked,2,156,0.0
write,2,202,0.01
nio,2,96,0.0
rpc,2,266,0.01
connect,2,77,0.0
direct,2,48,0.0
disconnected,2,35,0.0
instance,2,34,0.0
received,2,32,0.0
peer,2,39,0.0
mode,2,79,0.0
ack,2,81,0.0
netty,2,131,0.0
sync,2,76,0.0
seq,2,26,0.0
adapters,2,120,0.0
gson,2,258,0.01
toolbox,2,283,0.01
converter,2,1004,0.01
collection,2,117,0.0
database,2,63,0.0
runtime,2,52,0.0
handlers,2,1564,0.03
command,2,164,0.0
plugin,2,42,0.0
debug,2,758,0.02
executor,2,221,0.0
method,2,115,0.0
rule,2,207,0.0
bit,2,126,0.0
change,2,168,0.0
subscribe,2,82,0.0
observer,2,355,0.01
retro,2,527,0.03
android,2,1358,0.02
authenticator,2,78,0.0
robin,2,145,0.01
round,2,146,0.01
encoder,2,167,0.0
output,2,134,0.0
protocol,2,302,0.01
interceptor,2,354,0.01
retrofit,2,270,0.01
media,2,626,0.01
types,2,199,0.0
emitter,2,95,0.0
art,2,287,0.02
reference,2,207,0.0
detail,2,144,0.0
details,2,210,0.0
number,2,135,0.0
binary,2,163,0.0
creation,2,32,0.0
group,2,1177,0.01
layout,2,127,0.0
edge,2,128,0.0
text,2,716,0.01
predicate,2,94,0.0
set,2,574,0.01
port,2,42,0.0
location,2,492,0.01
permission,2,610,0.01
services,2,892,0.01
process,2,131,0.0
cassandra,2,328,0.01
java,2,461,0.01
keyspaces,2,230,0.01
properties,2,3047,0.04
controllers,2,203,0.01
discovery,2,127,0.0
toast,2,155,0.01
phone,2,107,0.0
snackbar,2,102,0.0
user,2,169,0.0
game,2,23596,0.59
datagram,2,170,0.01
count,2,9,0.0
consumer,2,102,0.0
shared,2,592,0.01
connector,2,437,0.01
serializer,2,1521,0.02
perf,2,299,0.01
echo,2,272,0.01
tls,1,91,0.0
plain,1,12,0.0
decorator,1,21,0.0
distributer,1,10,0.0
threading,1,5,0.0
compressor,1,5,0.0
woodpecker,1,9,0.0
annotations,1,9,0.0
login,1,16,0.0
review,1,1,0.0
settings,1,12,0.0
peck,1,1,0.0
path,1,828,0.01
multicast,1,17,0.0
receivers,1,8,0.0
wifi,1,4,0.0
monitoring,1,4,0.0
console,1,54,0.0
rtp,1,4,0.0
fit,1,1,0.0
texture,1,1,0.0
customfonts,1,36,0.0
fonts,1,24,0.0
generated,1,60,0.0
spitfire,1,55,0.0
spitfireapp,1,24,0.0
hub,1,23,0.0
git,1,6,0.0
repo,1,4,0.0
concurrent,1,306,0.01
empty,1,156,0.0
libuv,1,39,0.0
transport,1,106,0.0
filterchain,1,50,0.0
deque,1,48,0.0
wrap,1,48,0.0
chain,1,73,0.0
actor,1,38,0.0
loop,1,369,0.01
cleaner,1,33,0.0
cleanable,1,31,0.0
token,1,127,0.0
structure,1,57,0.0
listeners,1,8,0.0
registered,1,3,0.0
connected,1,19,0.0
disconnection,1,1,0.0
discovered,1,1,0.0
registration,1,1,0.0
devices,1,34,0.0
zeroconf,1,56,0.0
react,1,25,0.0
nsd,1,18,0.0
dnssd,1,6,0.0
conf,1,6,0.0
