keyword,doc_freq,total_freq,tfidf
processor,3,582,0.02
analysis,2,611,0.04
filter,2,289,0.01
frequency,2,288,0.04
util,2,255,0.0
sentence,2,146,0.02
document,2,119,0.01
model,2,95,0.0
eval,2,78,0.01
tfidf,2,78,0.02
rosette,1,139,0.02
text,1,63,0.0
api,1,47,0.0
wrapper,1,71,0.0
plugin,1,47,0.0
language,1,47,0.0
categories,1,45,0.01
name,1,45,0.0
translation,1,45,0.01
sentiment,1,45,0.01
entities,1,45,0.0
demoingest,1,4,0.0
field,1,26,0.0
mapper,1,2,0.0
demo,1,4,0.0
ingest,1,2,0.0
cli,1,2,0.0
jate,1,3533,0.77
dcs,1,2820,0.62
feature,1,1001,0.06
app,1,676,0.02
algorithm,1,535,0.04
term,1,410,0.04
nlp,1,414,0.06
solr,1,362,0.05
worker,1,328,0.02
based,1,308,0.03
open,1,290,0.02
factory,1,232,0.0
master,1,212,0.02
ctx,1,190,0.04
chi,1,165,0.03
square,1,165,0.02
value,1,126,0.0
chunker,1,122,0.03
core,1,112,0.0
tagger,1,108,0.02
mwe,1,104,0.02
terms,1,63,0.01
rake,1,98,0.02
creator,1,97,0.01
recognition,1,96,0.01
ttf,1,96,0.02
context,1,96,0.0
deprecated,1,92,0.01
containment,1,82,0.02
file,1,79,0.0
test,1,79,0.0
gloss,1,78,0.02
indexing,1,78,0.01
weirdness,1,78,0.02
builder,1,78,0.0
opennlp,1,75,0.01
index,1,74,0.0
cooccurrence,1,72,0.02
attf,1,72,0.02
ridf,1,72,0.02
textdigester,1,100,0.02
summarizer,1,66,0.01
method,1,24,0.0
summa,1,22,0.01
example,1,20,0.0
analyzer,1,14,0.0
resource,1,12,0.0
lex,1,12,0.0
lexrank,1,10,0.0
multi,1,40,0.0
centroid,1,10,0.0
setting,1,10,0.0
server,1,8,0.0
importer,1,6,0.0
extractive,1,4,0.0
wiki,1,4,0.0
wikipedia,1,4,0.0
parse,1,4,0.0
txtvect,1,4,0.0
vector,1,4,0.0
limporter,1,4,0.0
rank,1,4,0.0
embedding,1,4,0.0
summarize,1,4,0.0
exception,1,30,0.0
utils,1,4,0.0
summarization,1,2,0.0
load,1,2,0.0
roug,1,2,0.0
escorer,1,2,0.0
dummy,1,2,0.0
item,1,2,0.0
freeling,1,2,0.0
token,1,2,0.0
ling,1,2,0.0
first,1,2,0.0
lemma,1,2,0.0
semantic,1,2,0.0
doc,1,55,0.01
sim,1,2,0.0
htm,1,2,0.0
