keyword,doc_freq,total_freq,tfidf
diff,1,530,0.77
html,1,330,0.25
tag,1,180,0.12
dom,1,140,0.23
ancestor,1,120,0.4
output,1,80,0.04
node,1,80,0.03
comparator,1,80,0.07
text,1,80,0.03
helper,1,60,0.02
rangedifferencer,1,60,0.2
atom,1,50,0.07
modification,1,50,0.11
string,1,40,0.01
tagtostring,1,40,0.13
range,1,40,0.03
differ,1,40,0.1
change,1,40,0.03
lcs,1,30,0.09
sax,1,30,0.06
internal,1,30,0.02
tree,1,20,0.01
result,1,20,0.01
differencer,1,20,0.07
content,1,10,0.01
image,1,10,0.0
xsl,1,10,0.03
iterator,1,10,0.01
delimiter,1,10,0.03
body,1,10,0.01
main,1,10,0.0
sematic,1,10,0.03
settings,1,10,0.0
splitter,1,10,0.02
daisy,1,10,0.03
last,1,10,0.01
common,1,10,0.0
parent,1,10,0.02
builder,1,10,0.0
white,1,10,0.02
space,1,10,0.01
buffer,1,10,0.01
type,1,10,0.0
merge,1,10,0.01
character,1,10,0.01
events,1,10,0.01
handler,1,10,0.0
attributes,1,10,0.01
map,1,10,0.0
generator,1,10,0.0
