keyword,doc_freq,total_freq,tfidf
action,3,887,0.1
factory,3,243,0.01
input,2,1212,0.14
module,2,465,0.06
impl,2,1160,0.06
method,2,249,0.04
uri,2,154,0.06
group,2,382,0.05
context,2,112,0.01
xml,2,241,0.03
path,2,128,0.02
tasks,2,311,0.08
validation,2,237,0.06
parameter,1,692,0.13
tasklist,1,815,0.74
output,1,795,0.1
parameters,1,492,0.13
util,1,639,0.02
request,1,608,0.06
response,1,552,0.06
tasklisttree,1,353,0.32
contract,1,315,0.1
list,1,285,0.02
exceptions,1,208,0.03
exception,1,208,0.01
cond,1,230,0.18
beans,1,216,0.08
unmarshaller,1,215,0.14
unicorn,1,194,0.18
message,1,171,0.02
direct,1,164,0.08
tlt,1,164,0.15
upload,1,163,0.05
formater,1,162,0.15
call,1,123,0.03
observer,1,116,0.03
task,1,84,0.01
file,1,80,0.0
type,1,90,0.0
wadl,1,82,0.07
simple,1,82,0.01
text,1,95,0.01
unknown,1,82,0.03
checkbox,1,82,0.05
client,1,82,0.01
language,1,81,0.02
escape,1,80,0.05
entities,1,80,0.02
mail,1,79,0.03
parser,1,53,0.0
files,1,41,0.01
cmd,1,395,0.15
report,1,233,0.05
api,1,228,0.02
check,1,207,0.04
config,1,184,0.01
daemon,1,156,0.08
builder,1,125,0.01
handler,1,122,0.01
model,1,113,0.0
scenario,1,112,0.04
configuration,1,111,0.01
base,1,110,0.01
strategy,1,101,0.01
resolving,1,91,0.08
error,1,91,0.01
result,1,82,0.01
resolver,1,66,0.01
content,1,64,0.01
repository,1,64,0.01
print,1,57,0.02
line,1,58,0.01
html,1,93,0.02
schema,1,53,0.01
serialize,1,52,0.03
create,1,51,0.01
document,1,53,0.01
resource,1,48,0.01
schematron,1,47,0.04
relative,1,47,0.02
command,1,45,0.0
assertion,1,32,0.02
internal,1,32,0.0
collecting,1,32,0.03
event,1,32,0.0
selection,1,32,0.01
parse,1,32,0.01
conversion,1,32,0.01
syntax,1,32,0.01
extract,1,32,0.01
application,1,32,0.0
service,1,32,0.0
validator,1,417,0.08
aop,1,122,0.06
groups,1,45,0.02
matcher,1,66,0.01
annotation,1,66,0.01
constraint,1,60,0.02
interceptor,1,50,0.01
guice,1,36,0.02
validated,1,28,0.02
utils,1,22,0.0
declared,1,16,0.01
implicit,1,12,0.01
