keyword,doc_freq,total_freq,tfidf
game,47,20606,0.1
utils,38,13350,0.01
manager,31,11121,0.01
type,29,23238,0.02
view,28,11476,0.01
data,28,11752,0.01
listener,27,12743,0.01
main,27,2687,0.0
util,24,7823,0.0
menu,24,10063,0.03
player,23,13228,0.05
state,23,6918,0.01
event,20,17240,0.02
screen,20,6900,0.03
map,19,22524,0.03
test,19,138369,0.11
model,19,17365,0.01
activity,18,1414,0.0
item,18,11489,0.02
image,16,4810,0.01
base,16,11497,0.01
controller,16,8562,0.01
helper,16,1511,0.0
core,15,5502,0.01
list,15,26687,0.03
handler,15,7833,0.01
adapter,15,2494,0.0
exception,14,3724,0.0
input,14,9068,0.02
action,13,15083,0.03
entity,13,6541,0.02
message,13,11121,0.02
settings,13,3271,0.01
object,13,13866,0.02
loader,13,16652,0.03
command,13,10591,0.02
config,13,2621,0.0
launcher,13,1249,0.01
sound,12,4762,0.03
server,12,6325,0.01
effect,12,3923,0.02
factory,12,9455,0.01
renderer,12,5368,0.02
android,12,5222,0.02
file,12,5851,0.0
button,11,3731,0.01
client,11,8261,0.01
system,11,4064,0.01
dialog,11,7387,0.02
panel,11,19616,0.06
level,11,20197,0.09
generator,10,5290,0.01
tile,10,2279,0.01
user,10,2693,0.0
score,10,1016,0.01
example,10,350,0.0
desktop,10,1913,0.01
component,10,5041,0.01
info,10,13899,0.02
constants,10,1372,0.0
app,9,740,0.0
set,9,11987,0.02
gui,9,4306,0.01
fragment,9,2092,0.0
about,9,580,0.0
instrumented,9,35,0.0
screens,9,2146,0.02
start,9,2819,0.01
world,9,7420,0.03
task,8,6093,0.01
scene,8,561,0.0
texture,8,2584,0.01
stats,8,3366,0.01
application,8,1858,0.0
events,8,1080,0.0
parser,8,18481,0.03
play,8,501,0.0
thread,7,1280,0.0
queue,7,1230,0.0
audio,7,2657,0.01
wrapper,7,3717,0.01
context,7,5231,0.01
impl,7,3335,0.0
filter,7,6795,0.01
resource,7,1727,0.0
card,7,985,0.0
module,7,3576,0.01
service,7,2202,0.0
status,7,1486,0.0
text,7,5661,0.01
pool,6,1710,0.0
engine,6,787,0.0
label,6,1674,0.01
enemy,6,362,0.0
entry,6,2864,0.01
network,6,2870,0.01
request,6,2556,0.0
move,6,2578,0.02
api,6,1780,0.0
debug,6,2499,0.01
log,6,1563,0.0
weapon,6,8057,0.07
chat,6,1932,0.01
select,6,1947,0.01
commands,6,4403,0.01
games,6,521,0.0
table,6,12837,0.03
entities,6,2230,0.01
json,6,1733,0.0
builder,6,2995,0.0
window,6,1657,0.01
random,6,1791,0.01
provider,5,3152,0.0
result,5,1841,0.0
bitmap,5,620,0.0
stream,5,1528,0.0
loading,5,2119,0.01
music,5,1354,0.01
load,5,3806,0.01
common,5,864,0.0
board,5,520,0.0
assets,5,1614,0.01
actions,5,4465,0.01
cell,5,1639,0.01
progress,5,1593,0.01
update,5,1053,0.0
container,5,1819,0.01
spell,5,28377,0.26
cards,5,366,0.0
field,5,1907,0.0
mode,5,2630,0.01
inventory,5,2941,0.02
background,5,742,0.0
items,5,2833,0.01
tab,5,6572,0.03
over,5,523,0.0
controls,5,3667,0.02
bullet,5,1109,0.01
packet,5,3768,0.02
layout,5,1401,0.0
shape,5,1707,0.01
tools,5,2518,0.01
executor,4,701,0.0
global,4,2960,0.01
door,4,1132,0.01
key,4,6532,0.01
font,4,1251,0.01
buffer,4,1415,0.0
render,4,915,0.0
save,4,3016,0.01
constant,4,740,0.0
response,4,652,0.0
exceptions,4,577,0.0
components,4,691,0.0
source,4,3916,0.01
error,4,1236,0.0
build,4,1251,0.01
callback,4,672,0.0
dialogs,4,805,0.0
types,4,1668,0.0
box,4,2307,0.01
race,4,13426,0.16
classes,4,3730,0.02
camera,4,1673,0.01
create,4,1375,0.0
join,4,1003,0.01
modules,4,7089,0.03
team,4,2048,0.02
objective,4,1458,0.01
setting,4,1192,0.01
tutorial,4,266,0.0
path,4,1778,0.0
animation,4,1742,0.01
statistics,4,781,0.0
custom,4,932,0.0
equipment,4,14076,0.12
overlay,4,468,0.0
grid,4,5078,0.02
basegameutils,4,57,0.0
explosion,4,484,0.01
snapshot,4,101,0.0
simple,4,4122,0.01
editor,4,3014,0.01
