keyword,doc_freq,total_freq,tfidf
location,3,39,0.05
activity,3,13,0.01
example,3,6,0.0
map,2,190,0.09
utils,2,56,0.01
time,2,43,0.03
main,2,31,0.01
fragment,2,13,0.01
instrumented,2,3,0.0
test,2,3,0.0
match,1,267,0.32
http,1,256,0.15
matching,1,188,0.45
gpx,1,190,0.69
util,1,123,0.02
cli,1,98,0.11
command,1,96,0.05
result,1,77,0.03
state,1,56,0.03
edge,1,55,0.08
hmm,1,50,0.14
resource,1,49,0.03
server,1,47,0.02
servlet,1,46,0.05
probabilities,1,46,0.17
module,1,46,0.03
algorithm,1,42,0.05
distributions,1,43,0.17
sequence,1,44,0.05
step,1,41,0.05
viterbi,1,42,0.17
transition,1,39,0.06
extension,1,37,0.04
measurement,1,36,0.07
file,1,34,0.01
index,1,30,0.02
get,1,24,0.02
bounds,1,24,0.06
root,1,24,0.03
configuration,1,24,0.01
application,1,24,0.01
json,1,22,0.01
trkpt,1,21,0.08
trkseg,1,21,0.08
trk,1,21,0.08
observation,1,19,0.06
bundle,1,13,0.02
metrics,1,8,0.01
temporal,1,4,0.01
spatial,1,4,0.01
likely,1,3,0.01
most,1,3,0.01
candidate,1,3,0.01
states,1,2,0.0
with,1,2,0.0
models,1,38,0.04
ride,1,14,0.06
adapter,1,16,0.01
bus,1,10,0.02
active,1,8,0.02
arriving,1,8,0.04
toasty,1,8,0.03
recent,1,6,0.02
helper,1,6,0.0
login,1,6,0.01
home,1,6,0.01
network,1,6,0.0
rides,1,4,0.02
kid,1,4,0.02
kids,1,4,0.02
api,1,4,0.0
response,1,4,0.0
feedback,1,4,0.01
locations,1,2,0.01
client,1,2,0.0
recycler,1,2,0.0
item,1,2,0.0
click,1,2,0.0
listener,1,2,0.0
buses,1,2,0.01
status,1,2,0.0
shared,1,2,0.0
pref,1,2,0.01
history,1,2,0.0
date,1,2,0.0
request,1,2,0.0
lat,1,2,0.01
service,1,3,0.0
change,1,1,0.0
connection,1,1,0.0
detector,1,1,0.0
job,1,1,0.0
upload,1,1,0.0
call,1,1,0.0
broadcast,1,1,0.0
android,1,18,0.02
examples,1,18,0.02
detect,1,12,0.03
track,1,12,0.02
detection,1,9,0.02
faces,1,9,0.03
face,1,9,0.02
view,1,6,0.0
multiple,1,6,0.01
center,1,6,0.02
camera,1,6,0.01
points,1,6,0.01
larger,1,3,0.01
extended,1,3,0.01
shape,1,3,0.0
color,1,3,0.0
libs,1,3,0.01
restrict,1,3,0.01
candide,1,3,0.01
overlay,1,3,0.01
and,1,3,0.0
smile,1,3,0.01
smaller,1,3,0.01
single,1,3,0.0
backup,1,3,0.01
whole,1,3,0.01
image,1,3,0.0
yawn,1,3,0.01
permission,1,3,0.0
blink,1,3,0.01
