keyword,doc_freq,total_freq,tfidf
main,5,175,0.01
camera,4,179,0.05
utils,4,301,0.01
activity,4,688,0.06
handler,3,67,0.01
type,3,96,0.0
text,3,67,0.01
input,3,96,0.01
controller,3,116,0.01
example,3,75,0.01
test,3,79,0.0
util,3,1116,0.03
view,3,649,0.05
base,3,151,0.01
screen,2,94,0.03
entity,2,166,0.03
file,2,50,0.0
listener,2,67,0.01
helper,2,96,0.01
client,2,85,0.01
control,2,65,0.02
android,2,25,0.01
filter,2,217,0.02
task,2,37,0.0
config,2,297,0.02
api,2,115,0.01
scene,2,24,0.01
source,2,106,0.01
manager,2,511,0.04
image,2,90,0.01
output,2,34,0.0
model,2,528,0.02
service,2,254,0.02
network,2,184,0.03
receiver,2,130,0.03
theme,2,131,0.07
data,2,130,0.01
layout,2,144,0.03
content,2,62,0.01
loader,2,111,0.01
key,2,19,0.0
tools,1,165,0.04
map,1,120,0.01
screens,1,90,0.05
constants,1,105,0.01
enemy,1,70,0.05
tower,1,67,0.05
basic,1,59,0.01
region,1,57,0.02
world,1,53,0.02
server,1,74,0.01
projectiles,1,48,0.04
game,1,41,0.01
networking,1,45,0.02
track,1,39,0.01
desktop,1,59,0.03
packets,1,30,0.01
launcher,1,31,0.01
window,1,31,0.01
missile,1,22,0.02
archive,1,18,0.01
save,1,20,0.01
placement,1,18,0.01
handle,1,39,0.02
mode,1,17,0.0
debug,1,35,0.01
campaign,1,14,0.01
attacking,1,14,0.01
controls,1,11,0.0
curve,1,12,0.01
traps,1,11,0.01
trap,1,11,0.01
strait,1,12,0.01
tracking,1,11,0.01
contact,1,11,0.0
target,1,11,0.0
types,1,9,0.0
global,1,41,0.01
plugin,1,44,0.01
video,1,50,0.01
opencv,1,18,0.01
segment,1,17,0.01
fxml,1,18,0.01
jni,1,12,0.01
processing,1,10,0.0
configuration,1,35,0.0
stereo,1,7,0.0
jogamp,1,6,0.01
equalizer,1,6,0.0
time,1,12,0.0
size,1,5,0.0
slide,1,5,0.0
show,1,5,0.0
clone,1,5,0.0
processor,1,5,0.0
properties,1,8,0.0
delay,1,5,0.0
limiter,1,5,0.0
sectioned,1,5,0.0
movie,1,5,0.0
distance,1,4,0.0
stream,1,9,0.0
proxy,1,4,0.0
context,1,8,0.0
effect,1,3,0.0
setup,1,3,0.0
external,1,3,0.0
color,1,3,0.0
sample,1,3,0.0
wheel,1,3,0.0
zephyr,1,627,0.63
fragment,1,642,0.1
preference,1,571,0.19
module,1,401,0.06
modules,1,400,0.11
notification,1,452,0.12
injection,1,439,0.19
log,1,263,0.04
repository,1,207,0.04
card,1,180,0.07
migrations,1,149,0.08
provider,1,169,0.02
migration,1,130,0.05
analytics,1,144,0.06
privacy,1,140,0.09
adapter,1,141,0.01
app,1,137,0.01
worker,1,134,0.03
viewmodel,1,124,0.07
application,1,113,0.01
database,1,106,0.02
navigation,1,99,0.05
logger,1,102,0.02
factory,1,89,0.0
discovery,1,87,0.04
dao,1,84,0.02
work,1,78,0.04
info,1,77,0.01
binding,1,72,0.02
whats,1,66,0.07
pager,1,60,0.02
sync,1,56,0.02
demo,1,1220,0.23
sdk,1,657,0.27
media,1,617,0.18
streaming,1,353,0.15
widget,1,304,0.07
straas,1,201,0.2
screencast,1,168,0.17
circall,1,131,0.13
player,1,101,0.03
qrcode,1,94,0.07
messaging,1,85,0.04
beauty,1,80,0.08
overlay,1,84,0.03
bar,1,59,0.01
seek,1,59,0.03
instrumented,1,57,0.01
container,1,50,0.01
internal,1,50,0.01
host,1,47,0.02
danmaku,1,46,0.05
cam,1,44,0.03
broadcasting,1,44,0.04
token,1,44,0.01
dialog,1,82,0.01
operation,1,30,0.01
core,1,30,0.0
texture,1,28,0.01
edit,1,26,0.01
compat,1,30,0.01
dotted,1,25,0.03
quality,1,25,0.01
customization,1,25,0.02
services,1,125,0.03
collada,1,62,0.05
entities,1,55,0.02
stl,1,48,0.05
system,1,30,0.01
hider,1,30,0.03
wavefront,1,17,0.01
animation,1,16,0.01
parser,1,15,0.0
xml,1,12,0.0
models,1,6,0.0
honeycomb,1,10,0.01
joint,1,10,0.01
math,1,10,0.0
surface,1,9,0.0
menu,1,39,0.01
bounding,1,8,0.0
touch,1,10,0.0
renderer,1,13,0.0
box,1,8,0.0
skeleton,1,7,0.0
vertex,1,6,0.0
skin,1,6,0.0
custom,1,10,0.0
list,1,35,0.0
frame,1,26,0.01
animated,1,5,0.0
transform,1,5,0.0
url,1,5,0.0
record,1,424,0.09
vhosts,1,271,0.27
vservice,1,114,0.12
exception,1,66,0.0
name,1,49,0.01
resolver,1,44,0.01
dns,1,32,0.02
option,1,28,0.01
udp,1,29,0.01
tcp,1,29,0.01
iab,1,28,0.02
invalid,1,22,0.01
zone,1,21,0.01
packet,1,34,0.01
cache,1,18,0.0
tests,1,14,0.0
quick,1,29,0.01
start,1,14,0.0
extended,1,14,0.01
parse,1,14,0.0
transfer,1,14,0.01
edns,1,14,0.01
ptr,1,14,0.01
single,1,39,0.01
nsap,1,14,0.01
ttl,1,14,0.01
sig,1,14,0.01
txt,1,20,0.01
tsig,1,14,0.01
flags,1,14,0.01
buffer,1,11,0.0
lru,1,11,0.01
pool,1,20,0.0
change,1,27,0.01
tcb,1,11,0.01
options,1,7,0.0
pressure,1,9,0.01
