keyword,doc_freq,total_freq,tfidf
http,5,958,0.03
result,5,1123,0.03
response,4,904,0.03
search,4,550,0.02
handler,4,462,0.01
manager,3,50,0.0
article,3,90,0.01
configuration,3,94,0.0
error,3,43,0.0
config,3,42,0.0
util,3,273,0.0
request,3,3818,0.1
user,3,700,0.02
page,3,1910,0.08
base,3,287,0.0
url,3,421,0.03
scraper,2,66,0.01
responses,2,861,0.09
models,2,998,0.05
post,2,224,0.01
data,2,360,0.0
saver,2,4,0.0
client,2,264,0.01
file,2,485,0.01
and,2,80,0.0
you,2,88,0.01
tube,2,88,0.01
text,2,125,0.0
auth,2,43,0.0
exception,2,95,0.0
link,2,84,0.01
threads,2,133,0.02
processor,2,2145,0.07
main,2,78,0.0
form,2,65,0.0
finder,2,24,0.0
comment,2,262,0.02
item,2,926,0.02
view,2,653,0.01
video,2,276,0.02
type,2,265,0.0
object,2,224,0.01
controller,2,128,0.0
time,2,33,0.0
event,2,199,0.0
factory,2,79,0.0
provider,2,126,0.0
location,2,149,0.01
named,2,135,0.02
internal,2,691,0.03
login,2,215,0.01
tag,2,127,0.01
service,2,144,0.0
parser,2,395,0.01
model,2,2874,0.03
html,2,177,0.01
example,2,799,0.02
test,2,149,0.0
crawler,2,390,0.04
source,2,394,0.01
utils,2,1747,0.01
extractor,2,377,0.02
language,1,108,0.01
twitter,1,21,0.0
detect,1,14,0.0
com,1,11,0.0
bing,1,13,0.0
job,1,38,0.0
cld,1,9,0.0
php,1,7,0.0
babel,1,7,0.0
collection,1,6,0.0
blogspot,1,5,0.0
textcat,1,4,0.0
entry,1,4,0.0
producer,1,11,0.0
code,1,106,0.0
extraction,1,3,0.0
broker,1,3,0.0
log,1,26,0.0
lingpipe,1,2,0.0
fetcher,1,2,0.0
screen,1,2,0.0
logging,1,2,0.0
sentiment,1,2,0.0
batch,1,2,0.0
detections,1,2,0.0
google,1,2,0.0
detector,1,2,0.0
tweet,1,2,0.0
errors,1,1,0.0
cli,1,43,0.0
basicauth,1,16,0.0
authtrial,1,7,0.0
trial,1,6,0.0
opts,1,5,0.0
ball,1,4,0.0
dao,1,49,0.0
tauro,1,2,0.0
digiflip,1,2,0.0
formauth,1,2,0.0
act,1,2,0.0
beam,1,2,0.0
updater,1,23,0.0
unsupported,1,2,0.0
host,1,2,0.0
binatone,1,2,0.0
wireless,1,2,0.0
disabled,1,2,0.0
coship,1,2,0.0
baton,1,2,0.0
basic,1,85,0.0
commentsuite,1,218,0.05
fxml,1,147,0.02
group,1,109,0.0
modal,1,64,0.01
mgmv,1,48,0.01
refresh,1,46,0.01
groups,1,18,0.0
list,1,139,0.0
comments,1,105,0.01
account,1,58,0.0
manage,1,22,0.0
channel,1,61,0.0
suite,1,18,0.0
elapsed,1,17,0.0
tokens,1,17,0.0
database,1,17,0.0
image,1,135,0.0
settings,1,13,0.0
loader,1,98,0.0
add,1,40,0.0
remove,1,12,0.0
events,1,11,0.0
clipboards,1,10,0.0
pane,1,11,0.0
empty,1,10,0.0
cell,1,10,0.0
delete,1,64,0.0
parameter,1,18,0.0
browser,1,18,0.0
requests,1,5112,0.51
instagram,1,3328,0.63
media,1,1983,0.13
payload,1,1725,0.14
get,1,1088,0.05
feed,1,1032,0.11
live,1,835,0.11
direct,1,690,0.09
story,1,607,0.08
reel,1,531,0.13
thread,1,543,0.02
music,1,420,0.05
users,1,301,0.02
accounts,1,343,0.05
friendships,1,318,0.08
igtv,1,322,0.08
upload,1,297,0.02
inbox,1,280,0.05
broadcast,1,279,0.03
timeline,1,270,0.04
actions,1,238,0.01
challenge,1,260,0.04
configure,1,236,0.03
action,1,201,0.01
storymetadata,1,233,0.06
info,1,286,0.01
highlights,1,180,0.04
tags,1,161,0.02
status,1,296,0.01
reels,1,112,0.03
photo,1,144,0.01
username,1,138,0.02
tray,1,131,0.02
repository,1,12,0.0
imp,1,9,0.0
impl,1,51,0.0
role,1,7,0.0
links,1,36,0.0
spring,1,3,0.0
security,1,8,0.0
pager,1,3,0.0
home,1,3,0.0
registration,1,3,0.0
access,1,13,0.0
denied,1,3,0.0
activity,1,67,0.0
instrumented,1,2,0.0
serritor,1,773,0.12
api,1,491,0.01
web,1,372,0.01
crawl,1,222,0.03
delay,1,148,0.02
mechanism,1,68,0.01
crawldelaymechanism,1,60,0.01
socket,1,56,0.0
stats,1,74,0.0
dto,1,46,0.0
strategy,1,76,0.0
stopwatch,1,32,0.0
callback,1,31,0.0
jwt,1,31,0.0
helper,1,29,0.0
frontier,1,23,0.0
non,1,23,0.0
load,1,21,0.0
candidate,1,19,0.0
domain,1,17,0.0
fixed,1,17,0.0
random,1,17,0.0
adaptive,1,17,0.0
counter,1,16,0.0
redirect,1,50,0.01
timeout,1,14,0.0
crypt,1,14,0.0
with,1,36,0.0
secured,1,14,0.0
samples,1,2210,0.21
selector,1,2147,0.15
pipeline,1,1944,0.14
scheduler,1,1450,0.1
downloader,1,885,0.1
formatter,1,817,0.05
blog,1,580,0.09
github,1,416,0.04
repo,1,416,0.04
property,1,421,0.02
annotation,1,406,0.02
spider,1,400,0.07
scripts,1,306,0.04
proxy,1,362,0.02
script,1,244,0.01
oschina,1,285,0.06
monitor,1,280,0.02
extract,1,251,0.03
json,1,282,0.01
collector,1,244,0.02
configurable,1,239,0.03
duplicate,1,235,0.03
pool,1,217,0.01
queue,1,208,0.01
selenium,1,204,0.03
selectors,1,63,0.01
processer,1,194,0.04
key,1,200,0.01
console,1,192,0.01
multi,1,191,0.01
baidu,1,180,0.03
remover,1,179,0.02
pattern,1,183,0.01
simple,1,161,0.0
adminui,1,504,0.1
query,1,133,0.01
bolt,1,126,0.02
analysisui,1,126,0.03
window,1,105,0.01
operations,1,105,0.01
tests,1,63,0.0
sourcetest,1,84,0.02
export,1,88,0.01
elastic,1,84,0.01
sources,1,42,0.01
urls,1,51,0.01
filters,1,63,0.0
namedquery,1,63,0.01
csv,1,63,0.0
panel,1,63,0.0
analysis,1,63,0.0
spout,1,63,0.01
date,1,148,0.01
cache,1,166,0.01
results,1,42,0.0
constants,1,88,0.0
analyzer,1,42,0.0
matched,1,42,0.01
application,1,42,0.0
commonui,1,42,0.01
filter,1,84,0.0
pageable,1,21,0.0
admin,1,21,0.0
