keyword,doc_freq,total_freq,tfidf
utils,23,7707,0.0
exception,21,12337,0.01
handler,19,18927,0.02
web,16,23583,0.05
factory,15,10492,0.01
util,15,55594,0.03
data,14,21655,0.02
model,13,22354,0.02
config,13,4596,0.0
request,13,43871,0.07
example,12,3681,0.01
file,12,8077,0.01
service,11,3663,0.0
impl,11,4679,0.0
http,11,16534,0.03
response,11,9888,0.02
client,10,9886,0.02
view,10,5390,0.01
server,10,3549,0.01
controller,10,2751,0.0
type,10,3535,0.0
resource,10,47839,0.11
filter,10,22081,0.03
context,10,6170,0.01
json,9,4593,0.01
application,9,9150,0.01
servlet,9,6878,0.03
manager,9,4797,0.01
object,9,2649,0.0
html,9,62758,0.22
text,8,6157,0.01
listener,8,13351,0.02
api,8,8304,0.01
java,8,4406,0.01
test,8,2382,0.0
main,7,484,0.0
base,7,2897,0.0
settings,7,12105,0.03
state,7,4757,0.01
validation,7,11397,0.05
app,7,1018,0.0
security,7,11480,0.03
configuration,7,3494,0.01
error,7,4679,0.01
parser,7,9255,0.01
info,7,3691,0.0
stream,7,8774,0.02
activity,7,373,0.0
image,7,6556,0.01
string,6,10490,0.02
map,6,4344,0.01
user,6,1717,0.0
provider,6,7439,0.01
event,6,6172,0.01
store,6,7555,0.02
page,6,24167,0.07
url,6,4786,0.02
custom,6,811,0.0
xml,6,3197,0.01
plugin,6,3361,0.01
demo,6,2056,0.01
thread,6,1327,0.0
session,6,8635,0.03
adapter,6,2598,0.0
not,6,2392,0.01
socket,5,5857,0.02
array,5,1675,0.0
input,5,2048,0.0
entity,5,1531,0.0
rest,5,4840,0.01
instrumented,5,164,0.0
route,5,3519,0.02
template,5,4244,0.01
table,5,11853,0.03
time,5,5662,0.01
websocket,4,2528,0.01
async,4,2110,0.01
login,4,374,0.0
renderer,4,4853,0.02
generator,4,848,0.0
panel,4,10905,0.04
validator,4,7279,0.02
core,4,33875,0.06
common,4,1268,0.0
name,4,2535,0.01
reader,4,919,0.0
viewer,4,160,0.0
resolver,4,6349,0.02
annotation,4,3118,0.01
spring,4,10976,0.04
helper,4,1286,0.0
constants,4,530,0.0
script,4,3477,0.01
list,4,6399,0.01
events,4,635,0.0
result,4,1113,0.0
method,4,1290,0.0
path,4,2205,0.01
content,4,2215,0.01
initializer,4,2926,0.02
statement,4,475,0.0
node,4,2062,0.0
converter,4,9738,0.02
cluster,3,233,0.0
set,3,1853,0.0
geo,3,250,0.0
index,3,392,0.0
handlers,3,435,0.0
properties,3,3250,0.01
log,3,1829,0.0
group,3,2410,0.01
command,3,4848,0.01
visibility,3,73,0.0
advanced,3,22,0.0
button,3,3356,0.01
runtime,3,5679,0.02
component,3,16921,0.04
definition,3,1162,0.01
init,3,1464,0.01
menu,3,784,0.0
trace,3,110,0.0
internal,3,19097,0.05
module,3,2966,0.01
undertow,3,1770,0.02
persistence,3,1061,0.0
proxy,3,3511,0.01
strategy,3,9023,0.02
loader,3,5724,0.01
local,3,910,0.0
logger,3,2764,0.01
connection,3,2359,0.01
cache,3,2303,0.0
pool,3,342,0.0
selector,3,992,0.0
wrapper,3,2745,0.01
media,3,2164,0.01
cors,3,623,0.0
access,3,833,0.0
failure,3,178,0.0
checker,3,2355,0.01
open,3,722,0.0
extension,3,1115,0.0
preference,3,117,0.0
support,3,1267,0.01
item,3,6390,0.01
routing,3,1956,0.01
cookie,3,1471,0.01
processor,3,1812,0.0
date,3,3140,0.01
bean,3,5276,0.02
token,3,605,0.0
network,3,430,0.0
query,3,3139,0.01
operation,3,1111,0.0
invalid,3,1100,0.0
found,3,805,0.0
condition,3,159,0.0
tag,3,4159,0.01
dto,3,73,0.0
function,3,627,0.0
task,3,798,0.0
centroid,2,212,0.0
spatial,2,182,0.0
track,2,357,0.0
range,2,625,0.0
vector,2,59,0.0
integer,2,1226,0.01
position,2,249,0.0
point,2,269,0.0
shared,2,1438,0.01
dialog,2,830,0.0
icon,2,421,0.0
editor,2,360,0.0
sensor,2,129,0.0
box,2,1342,0.01
users,2,66,0.0
field,2,5208,0.01
form,2,23086,0.09
validators,2,407,0.0
metadata,2,1570,0.01
element,2,2083,0.01
binding,2,545,0.0
action,2,2001,0.0
views,2,2072,0.01
edit,2,1022,0.0
mapping,2,627,0.0
message,2,5139,0.01
version,2,2959,0.01
javafx,2,31,0.0
dataviewer,2,4,0.0
transaction,2,3744,0.02
diagnostic,2,1670,0.02
code,2,1923,0.01
scan,2,938,0.0
metrics,2,3028,0.01
authorization,2,7516,0.05
shell,2,651,0.0
run,2,81,0.0
select,2,2073,0.01
scanner,2,366,0.0
routes,2,82,0.0
download,2,529,0.0
callback,2,497,0.0
interceptor,2,783,0.0
engine,2,1672,0.0
browser,2,1899,0.01
call,2,811,0.0
audio,2,1006,0.01
video,2,267,0.0
any,2,206,0.0
texture,2,50,0.0
permission,2,1604,0.01
frame,2,1229,0.0
output,2,2130,0.0
domain,2,160,0.0
denied,2,360,0.0
tile,2,107,0.0
body,2,1061,0.0
update,2,1236,0.0
search,2,369,0.0
fragment,2,1261,0.0
helpers,2,281,0.0
player,2,1188,0.0
storage,2,999,0.0
compat,2,70,0.0
details,2,154,0.0
lib,2,903,0.0
header,2,10165,0.04
templating,2,324,0.0
with,2,1865,0.0
layout,2,243,0.0
language,2,281,0.0
reporter,2,500,0.0
compiler,2,719,0.0
gradle,2,403,0.0
source,2,1890,0.0
value,2,5153,0.01
expression,2,3296,0.01
post,2,756,0.0
generate,2,53,0.0
progress,2,491,0.0
receiver,2,32,0.0
check,2,3272,0.01
exceptions,2,1974,0.01
predicate,2,1272,0.01
generic,2,9139,0.03
constraint,2,935,0.0
unsupported,2,271,0.0
auto,2,3025,0.01
authentication,2,3148,0.01
property,2,4377,0.01
configurer,2,252,0.0
registrar,2,55,0.0
word,2,353,0.0
valid,2,149,0.0
profile,2,189,0.0
style,2,1750,0.01
control,2,766,0.0
navigator,2,1237,0.01
document,2,1187,0.0
repository,2,211,0.0
format,2,736,0.0
serializer,2,1429,0.0
dom,2,319,0.0
mapper,2,9651,0.03
wizard,2,6867,0.04
parsec,2,719,0.01
filters,2,307,0.0
and,2,1733,0.01
plot,2,8,0.0
top,2,135,0.0
bar,2,1505,0.0
variables,2,175,0.0
port,2,105,0.0
css,2,2508,0.02
database,2,394,0.0
builder,2,2163,0.0
display,2,99,0.0
endpoint,2,865,0.0
basic,2,2812,0.01
router,2,498,0.0
library,2,508,0.0
runner,2,153,0.0
discord,1,3,0.0
distance,1,305,0.0
feature,1,291,0.0
nurbs,1,130,0.0
wave,1,120,0.0
geodesic,1,101,0.0
unsupervised,1,100,0.0
waves,1,77,0.0
temporal,1,124,0.0
kml,1,81,0.0
semantic,1,72,0.0
interpolation,1,75,0.0
tracks,1,40,0.0
gossip,1,62,0.0
numeric,1,55,0.0
bagofwords,1,52,0.0
curve,1,48,0.0
external,1,1041,0.01
intersector,1,42,0.0
sine,1,36,0.0
clusterer,1,40,0.0
noise,1,38,0.0
delaunay,1,36,0.0
biased,1,36,0.0
triangle,1,31,0.0
matrix,1,59,0.0
spime,1,31,0.0
methods,1,30,0.0
spline,1,30,0.0
device,1,502,0.0
report,1,258,0.0
reports,1,192,0.0
fence,1,155,0.0
notification,1,516,0.0
archive,1,232,0.0
pictures,1,68,0.0
traccar,1,59,0.0
cldr,1,58,0.0
fields,1,55,0.0
showcase,1,26,0.0
components,1,78,0.0
elements,1,505,0.0
formelements,1,17,0.0
section,1,253,0.0
checkbox,1,173,0.0
choice,1,3264,0.02
conditional,1,101,0.0
radio,1,737,0.01
drop,1,389,0.0
add,1,697,0.0
wicked,1,4,0.0
down,1,248,0.0
area,1,301,0.0
actions,1,209,0.0
required,1,303,0.0
min,1,18,0.0
max,1,47,0.0
hint,1,80,0.0
enabling,1,2,0.0
label,1,3697,0.02
person,1,71,0.0
disabled,1,248,0.0
generalusage,1,2,0.0
labeller,1,2,0.0
design,1,1122,0.01
flow,1,1242,0.01
agent,1,1064,0.0
diagram,1,439,0.0
execution,1,544,0.0
admin,1,534,0.0
setting,1,518,0.0
persist,1,320,0.0
deploy,1,298,0.0
deployment,1,330,0.0
step,1,1317,0.01
directory,1,300,0.0
project,1,236,0.0
spi,1,2239,0.01
cli,1,2176,0.01
fixtures,1,2017,0.02
seed,1,1561,0.01
crypto,1,1839,0.01
jndi,1,1051,0.01
resources,1,1416,0.01
tool,1,768,0.0
hal,1,688,0.01
jms,1,742,0.01
crawler,1,61,0.0
maker,1,149,0.0
xxl,1,30,0.0
conf,1,55,0.0
jsoup,1,20,0.0
rundata,1,18,0.0
regex,1,68,0.0
round,1,11,0.0
random,1,214,0.0
reflection,1,252,0.0
unit,1,161,0.0
load,1,632,0.0
selenium,1,5,0.0
phantomjs,1,5,0.0
non,1,855,0.0
moe,1,83,0.0
fred,1,11,0.0
dot,1,11,0.0
virus,1,7,0.0
bad,1,36,0.0
caddy,1,7,0.0
too,1,23,0.0
big,1,309,0.0
sonic,1,445,0.01
sdk,1,412,0.0
quick,1,163,0.0
sni,1,15,0.0
ssl,1,319,0.0
diff,1,4565,0.03
standard,1,265,0.0
statistics,1,58,0.0
back,1,19,0.0
replace,1,71,0.0
copier,1,10,0.0
hardening,1,7,0.0
record,1,558,0.0
rtc,1,360,0.0
constraints,1,154,0.0
observer,1,106,0.0
flutter,1,99,0.0
channel,1,434,0.0
samples,1,83,0.0
capturer,1,58,0.0
egl,1,49,0.0
get,1,318,0.0
surface,1,73,0.0
camera,1,49,0.0
peer,1,117,0.0
recorder,1,311,0.0
sink,1,325,0.0
bluetooth,1,29,0.0
proximity,1,82,0.0
ssrf,1,116,0.0
jsonp,1,63,0.0
xxe,1,57,0.0
hook,1,279,0.0
othervulns,1,41,0.0
csrf,1,291,0.0
rce,1,44,0.0
