keyword,doc_freq,total_freq,tfidf
text,2,40,0.02
utils,2,87,0.02
impl,2,148,0.06
model,2,20,0.01
vector,2,123,0.22
fast,1,24,0.05
wrapper,1,16,0.02
config,1,22,0.01
vecf,1,37,0.18
vocabulary,1,36,0.11
vec,1,20,0.05
trainer,1,20,0.06
representation,1,20,0.07
examples,1,21,0.04
example,1,20,0.01
measure,1,18,0.05
file,1,15,0.0
conll,1,12,0.05
inferrer,1,12,0.06
generator,1,12,0.01
common,1,15,0.01
token,1,12,0.01
extraction,1,10,0.03
vocab,1,9,0.04
configs,1,8,0.02
functions,1,8,0.01
callable,1,8,0.02
evaluation,1,8,0.02
net,1,8,0.01
unicode,1,7,0.02
expression,1,7,0.01
builder,1,8,0.0
word,1,7,0.02
models,1,8,0.01
parser,1,7,0.0
reader,1,7,0.01
wor,1,5,0.02
serializer,1,5,0.01
dependency,1,5,0.01
lex,1,4,0.02
sub,1,4,0.01
generalized,1,4,0.02
average,1,4,0.01
precision,1,4,0.01
lexical,1,4,0.02
substitute,1,4,0.02
gap,1,4,0.02
score,1,11,0.03
embedding,1,4,0.02
context,1,4,0.0
instance,1,4,0.01
cnn,1,4,0.01
sentence,1,4,0.01
classification,1,4,0.01
core,1,233,0.15
relatedness,1,174,0.79
client,1,162,0.11
function,1,131,0.11
service,1,77,0.03
resource,1,60,0.06
factory,1,65,0.02
indra,1,57,0.26
mongo,1,55,0.12
response,1,52,0.04
space,1,44,0.1
pair,1,44,0.07
exception,1,40,0.01
request,1,39,0.03
composition,1,34,0.12
composer,1,26,0.08
vectors,1,12,0.05
translator,1,23,0.06
mapper,1,22,0.02
mocked,1,18,0.07
analyzed,1,18,0.08
translation,1,15,0.04
resources,1,9,0.01
error,1,13,0.01
info,1,12,0.01
cosine,1,12,0.05
annoy,1,12,0.05
util,1,10,0.0
filter,1,12,0.01
sum,1,11,0.03
term,1,11,0.02
translated,1,10,0.04
driver,1,10,0.02
cached,1,10,0.02
lucene,1,10,0.03
threshold,1,11,0.03
server,1,9,0.01
metadata,1,9,0.01
block,1,8,0.01
scored,1,8,0.03
shannon,1,8,0.04
skew,1,8,0.03
city,1,8,0.02
jensen,1,8,0.04
alpha,1,8,0.02
bert,1,42,0.18
tokenizer,1,24,0.05
full,1,6,0.01
wordpiece,1,6,0.03
basic,1,13,0.01
